,weight,mean_P,mean_non_P
fw_el_to,-0.5611000859722305,13.476666670521745,24.746219093225385
fw_zeh_this,-0.3970212519761449,1.7605279162003213,5.349910828291122
fw_conj_vav,-0.3516483485625521,135.55743617914572,162.7932724834177
fw_article_ha,0.33580283180243775,90.8637818840511,65.36899856473131
fw_prep_le,0.2995695959637099,65.7235810198208,56.61516819976776
fw_prep_be,-0.27677390976527944,40.13926091170934,38.234515185066755
fw_interrog_he,-0.24998679881032582,0.04465880671668453,2.914948549523799
ttr,-0.22307394138933226,0.32879932150248936,0.416477438819112
fw_yom_day,0.2137120194620747,6.74333506435504,5.234377174006927
fw_et_dom,0.20874794687359866,51.3249832754503,40.43870147297321
fw_al_upon,0.18795566845049017,20.689556203464175,13.290205244607428
fw_lo_neg,0.16574707276103492,11.79035618797151,12.508859616730591
fw_peh_mouth_idiom,0.1366664191770992,1.4317858333756037,1.5560538864626845
fw_prep_min,0.12797388726215514,16.67274806378425,15.493186145429732
fw_ki_causal,-0.11752388902446703,6.46368165593693,13.456408236598973
fw_kol_all,0.09142283754640092,17.350480113332626,11.574693016159745
fw_asher_rel,0.06407352660560758,16.964976646032078,16.101058296308892
fw_hu_pron3ms,0.0611443665873906,6.698288431786989,7.16863184333823
fw_prep_ke,-0.046885684966435706,4.972645634935081,6.947807669913708
avg_word_len,0.04580080253971004,2.318984893501571,2.2761978682167436
std_word_len,0.03562839534233056,1.3425639703480379,1.318222785660929
fw_im_with,0.030130524041981476,0.850536262243282,3.886195290947952
